FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value
ENSMUSG00000066551,Hmgb1,3.070782146,-1.767803795,0.010343719,10.47920197,1.767803795,0.010343719
ENSMUSG00000006356,Crip2,3.048636758,-2.818136436,1.13E-06,21.54857542,2.818136436,1.13E-06
ENSMUSG00000009927,Rps25,3.017444168,0.059622147,1,2.899644203,-0.059622147,1
ENSMUSG00000030246,Ldhb,3.002455522,-1.522385788,0.033300951,8.642841931,1.522385788,0.033300951
ENSMUSG00000007892,Rplp1,2.982200593,-0.665393511,0.415423146,4.738442966,0.665393511,0.415423146
ENSMUSG00000027907,S100a11,2.960595337,-2.489373932,4.30E-05,16.66137022,2.489373932,4.30E-05
ENSMUSG00000027447,Cst3,2.940340408,-0.783342004,0.329138663,5.070109586,0.783342004,0.329138663
ENSMUSG00000064358,mt-Co3,2.936964587,-0.233290307,0.836425579,3.458112262,0.233290307,0.836425579
ENSMUSG00000021608,Lpcat1,2.930347977,3.157299244,0.037773482,0.32678917,-3.157299244,0.037773482
ENSMUSG00000062997,Rpl35,2.927242222,0.676078993,0.937422743,1.833921313,-0.676078993,0.937422743
ENSMUSG00000003380,Rabac1,2.926026926,-0.501876729,0.558670308,4.150710205,0.501876729,0.558670308
ENSMUSG00000047844,Bex4,2.867152601,3.827623574,0.012730979,0.199975462,-3.827623574,0.012730979
ENSMUSG00000028832,Stmn1,2.856890104,1.889151068,0.234378216,0.770637147,-1.889151068,0.234378216
ENSMUSG00000034994,Eef2,2.831368895,0.51388865,1,1.985122272,-0.51388865,1
ENSMUSG00000037706,Cd81,2.814219722,2.605924954,0.089297208,0.460919053,-2.605924954,0.089297208
ENSMUSG00000035885,Cox8a,2.798420878,-0.760119023,0.341007789,4.748197867,0.760119023,0.341007789
ENSMUSG00000061787,Rps17,2.734955437,0.148722985,1,2.470428577,-0.148722985,1
ENSMUSG00000063229,Ldha,2.725773202,-0.94375879,0.221415643,5.253013973,0.94375879,0.221415643
ENSMUSG00000034892,Rps29,2.720236855,0.415973823,1,2.04121295,-0.415973823,1
ENSMUSG00000033917,Gde1,2.718211363,-0.494514149,0.566561242,3.836114661,0.494514149,0.566561242
ENSMUSG00000032473,Cldn18,2.713620246,-0.218807673,0.851302898,3.163026519,0.218807673,0.851302898
ENSMUSG00000020057,Dram1,2.709029129,3.352639859,0.027543751,0.263382316,-3.352639859,0.027543751
